1;;King;2024-07-01 12:53:16
1;;Winner;2024-07-01 12:53:16
1;1;King;2024-07-01 12:53:20
1;1;Winner;2024-07-01 12:53:20
2;;King;2024-07-01 12:53:28
2;;Winner;2024-07-01 12:53:29
2;2;King;2024-07-01 12:53:32
2;2;Winner;2024-07-01 12:53:33
1;;King;2024-07-01 21:59:25
1;;Winner;2024-07-01 21:59:25
1;1;King;2024-07-01 21:59:29
1;1;Winner;2024-07-01 21:59:29
1;;King;2024-07-01 21:59:46
1;;Winner;2024-07-01 21:59:47
1;1;King;2024-07-01 21:59:50
1;1;Winner;2024-07-01 21:59:51
1;;King;2024-07-01 22:00:59
1;;Winner;2024-07-01 22:01:00
1;1;King;2024-07-01 22:01:03
1;1;Winner;2024-07-01 22:01:04
1;;King;2024-07-01 22:01:27
1;;Winner;2024-07-01 22:01:28
2;;King;2024-07-01 22:01:47
2;;Winner;2024-07-01 22:01:47
1;2;King;2024-07-01 22:02:07
1;2;Winner;2024-07-01 22:02:08
1;;King;2024-07-01 23:39:01
1;;Winner;2024-07-01 23:39:01
1;1;King;2024-07-01 23:39:06
1;1;Winner;2024-07-01 23:39:06
1;1;King;2024-07-01 23:39:10
1;1;Winner;2024-07-01 23:39:11
1;1;King;2024-07-01 23:39:15
1;1;Winner;2024-07-01 23:39:15
1;1;King;2024-07-01 23:39:19
1;1;Winner;2024-07-01 23:39:20
1;1;King;2024-07-01 23:39:24
1;1;Winner;2024-07-01 23:39:24
1;1;King;2024-07-01 23:39:28
1;1;Winner;2024-07-01 23:39:29
1;1;King;2024-07-01 23:39:33
1;1;Winner;2024-07-01 23:39:33
2;;King;2024-07-01 23:39:36
2;;Winner;2024-07-01 23:39:37
1;1;King;2024-07-01 23:39:37
1;1;Winner;2024-07-01 23:39:38
2;2;King;2024-07-01 23:39:41
2;2;Winner;2024-07-01 23:39:42
1;1;King;2024-07-01 23:39:42
1;1;Winner;2024-07-01 23:39:42
2;2;King;2024-07-01 23:39:46
2;2;Winner;2024-07-01 23:39:46
1;1;King;2024-07-01 23:39:46
1;1;Winner;2024-07-01 23:39:47
2;2;King;2024-07-01 23:39:50
2;2;Winner;2024-07-01 23:39:51
1;1;King;2024-07-01 23:39:51
1;1;Winner;2024-07-01 23:39:51
2;2;King;2024-07-01 23:39:55
2;2;Winner;2024-07-01 23:39:55
1;1;King;2024-07-01 23:39:55
1;1;Winner;2024-07-01 23:39:56
2;2;King;2024-07-01 23:39:59
2;2;Winner;2024-07-01 23:40:00
1;1;King;2024-07-01 23:40:00
1;1;Winner;2024-07-01 23:40:00
2;2;King;2024-07-01 23:40:04
2;2;Winner;2024-07-01 23:40:04
1;1;King;2024-07-01 23:40:04
1;1;Winner;2024-07-01 23:40:05
2;2;King;2024-07-01 23:40:08
2;2;Winner;2024-07-01 23:40:09
1;1;King;2024-07-01 23:40:09
1;1;Winner;2024-07-01 23:40:09
2;2;King;2024-07-01 23:40:13
2;2;Winner;2024-07-01 23:40:13
1;1;King;2024-07-01 23:40:13
1;1;Winner;2024-07-01 23:40:14
1;1;King;2024-07-01 23:40:18
1;1;Winner;2024-07-01 23:40:18
1;;King;2024-07-01 23:40:29
1;;Winner;2024-07-01 23:40:29
2;;King;2024-07-01 23:40:35
2;;Winner;2024-07-01 23:40:35
1;;King;2024-07-01 23:46:19
1;;Winner;2024-07-01 23:46:20
