1;;King;2024-07-01 12:53:16
1;;Winner;2024-07-01 12:53:16
1;1;King;2024-07-01 12:53:20
1;1;Winner;2024-07-01 12:53:20
2;;King;2024-07-01 12:53:28
2;;Winner;2024-07-01 12:53:29
2;2;King;2024-07-01 12:53:32
2;2;Winner;2024-07-01 12:53:33
1;;King;2024-07-01 21:59:25
1;;Winner;2024-07-01 21:59:25
1;1;King;2024-07-01 21:59:29
1;1;Winner;2024-07-01 21:59:29
1;;King;2024-07-01 21:59:46
1;;Winner;2024-07-01 21:59:47
1;1;King;2024-07-01 21:59:50
1;1;Winner;2024-07-01 21:59:51
1;;King;2024-07-01 22:00:59
1;;Winner;2024-07-01 22:01:00
1;1;King;2024-07-01 22:01:03
1;1;Winner;2024-07-01 22:01:04
1;;King;2024-07-01 22:01:27
1;;Winner;2024-07-01 22:01:28
2;;King;2024-07-01 22:01:47
2;;Winner;2024-07-01 22:01:47
1;2;King;2024-07-01 22:02:07
1;2;Winner;2024-07-01 22:02:08
